Freq.	V(out)
1.00000000000000e+001	(-4.32007474159137e+001dB,-9.97846409767396e+001°)
1.00695555005672e+001	(-4.30191902123182e+001dB,-1.00321095786139e+002°)
1.01395947979003e+001	(-4.28380873345821e+001dB,-1.00858359226814e+002°)
1.02101212570719e+001	(-4.26574398462712e+001dB,-1.01396419366304e+002°)
1.02811382665607e+001	(-4.24772487864153e+001dB,-1.01935264215707e+002°)
1.03526492384138e+001	(-4.22975151694298e+001dB,-1.02474881732354e+002°)
1.04246576084112e+001	(-4.21182399850456e+001dB,-1.03015259822502e+002°)
1.04971668362307e+001	(-4.19394241982475e+001dB,-1.03556386344020e+002°)
1.05701804056138e+001	(-4.17610687492207e+001dB,-1.04098249109084e+002°)
1.06437018245336e+001	(-4.15831745533068e+001dB,-1.04640835886868e+002°)
1.07177346253629e+001	(-4.14057425009669e+001dB,-1.05184134406239e+002°)
1.07922823650443e+001	(-4.12287734577546e+001dB,-1.05728132358448e+002°)
1.08673486252606e+001	(-4.10522682642964e+001dB,-1.06272817399822e+002°)
1.09429370126074e+001	(-4.08762277362813e+001dB,-1.06818177154443e+002°)
1.10190511587661e+001	(-4.07006526644579e+001dB,-1.07364199216833e+002°)
1.10956947206785e+001	(-4.05255438146415e+001dB,-1.07910871154621e+002°)
1.11728713807222e+001	(-4.03509019277277e+001dB,-1.08458180511212e+002°)
1.12505848468881e+001	(-4.01767277197156e+001dB,-1.09006114808438e+002°)
1.13288388529580e+001	(-4.00030218817392e+001dB,-1.09554661549203e+002°)
1.14076371586842e+001	(-3.98297850801064e+001dB,-1.10103808220111e+002°)
1.14869835499704e+001	(-3.96570179563467e+001dB,-1.10653542294090e+002°)
1.15668818390529e+001	(-3.94847211272669e+001dB,-1.11203851232987e+002°)
1.16473358646846e+001	(-3.93128951850151e+001dB,-1.11754722490161e+002°)
1.17283494923188e+001	(-3.91415406971519e+001dB,-1.12306143513049e+002°)
1.18099266142953e+001	(-3.89706582067309e+001dB,-1.12858101745718e+002°)
1.18920711500272e+001	(-3.88002482323855e+001dB,-1.13410584631392e+002°)
1.19747870461893e+001	(-3.86303112684246e+001dB,-1.13963579614967e+002°)
1.20580782769076e+001	(-3.84608477849354e+001dB,-1.14517074145494e+002°)
1.21419488439505e+001	(-3.82918582278940e+001dB,-1.15071055678641e+002°)
1.22264027769207e+001	(-3.81233430192833e+001dB,-1.15625511679135e+002°)
1.23114441334492e+001	(-3.79553025572183e+001dB,-1.16180429623174e+002°)
1.23970769993899e+001	(-3.77877372160788e+001dB,-1.16735797000807e+002°)
1.24833054890161e+001	(-3.76206473466490e+001dB,-1.17291601318299e+002°)
1.25701337452183e+001	(-3.74540332762644e+001dB,-1.17847830100450e+002°)
1.26575659397028e+001	(-3.72878953089653e+001dB,-1.18404470892896e+002°)
1.27456062731927e+001	(-3.71222337256569e+001dB,-1.18961511264376e+002°)
1.28342589756291e+001	(-3.69570487842769e+001dB,-1.19518938808961e+002°)
1.29235283063750e+001	(-3.67923407199684e+001dB,-1.20076741148251e+002°)
1.30134185544194e+001	(-3.66281097452601e+001dB,-1.20634905933544e+002°)
1.31039340385837e+001	(-3.64643560502519e+001dB,-1.21193420847961e+002°)
1.31950791077290e+001	(-3.63010798028073e+001dB,-1.21752273608538e+002°)
1.32868581409652e+001	(-3.61382811487514e+001dB,-1.22311451968278e+002°)
1.33792755478612e+001	(-3.59759602120738e+001dB,-1.22870943718171e+002°)
1.34723357686569e+001	(-3.58141170951389e+001dB,-1.23430736689164e+002°)
1.35660432744768e+001	(-3.56527518788996e+001dB,-1.23990818754099e+002°)
1.36604025675440e+001	(-3.54918646231173e+001dB,-1.24551177829611e+002°)
1.37554181813975e+001	(-3.53314553665873e+001dB,-1.25111801877975e+002°)
1.38510946811093e+001	(-3.51715241273678e+001dB,-1.25672678908919e+002°)
1.39474366635041e+001	(-3.50120709030145e+001dB,-1.26233796981390e+002°)
1.40444487573800e+001	(-3.48530956708199e+001dB,-1.26795144205279e+002°)
1.41421356237310e+001	(-3.46945983880559e+001dB,-1.27356708743095e+002°)
1.42405019559708e+001	(-3.45365789922216e+001dB,-1.27918478811600e+002°)
1.43395524801583e+001	(-3.43790374012944e+001dB,-1.28480442683399e+002°)
1.44392919552250e+001	(-3.42219735139848e+001dB,-1.29042588688475e+002°)
1.45397251732032e+001	(-3.40653872099951e+001dB,-1.29604905215686e+002°)
1.46408569594563e+001	(-3.39092783502812e+001dB,-1.30167380714213e+002°)
1.47426921729111e+001	(-3.37536467773178e+001dB,-1.30730003694954e+002°)
1.48452357062905e+001	(-3.35984923153657e+001dB,-1.31292762731879e+002°)
1.49484924863494e+001	(-3.34438147707429e+001dB,-1.31855646463330e+002°)
1.50524674741107e+001	(-3.32896139320977e+001dB,-1.32418643593274e+002°)
1.51571656651040e+001	(-3.31358895706838e+001dB,-1.32981742892508e+002°)
1.52625920896057e+001	(-3.29826414406379e+001dB,-1.33544933199813e+002°)
1.53687518128802e+001	(-3.28298692792593e+001dB,-1.34108203423062e+002°)
1.54756499354240e+001	(-3.26775728072905e+001dB,-1.34671542540269e+002°)
1.55832915932101e+001	(-3.25257517292003e+001dB,-1.35234939600604e+002°)
1.56916819579351e+001	(-3.23744057334665e+001dB,-1.35798383725343e+002°)
1.58008262372676e+001	(-3.22235344928617e+001dB,-1.36361864108775e+002°)
1.59107296750984e+001	(-3.20731376647382e+001dB,-1.36925370019062e+002°)
1.60213975517925e+001	(-3.19232148913142e+001dB,-1.37488890799042e+002°)
1.61328351844426e+001	(-3.17737657999602e+001dB,-1.38052415866988e+002°)
1.62450479271248e+001	(-3.16247900034860e+001dB,-1.38615934717317e+002°)
1.63580411711557e+001	(-3.14762871004271e+001dB,-1.39179436921247e+002°)
1.64718203453515e+001	(-3.13282566753307e+001dB,-1.39742912127405e+002°)
1.65863909162889e+001	(-3.11806982990423e+001dB,-1.40306350062393e+002°)
1.67017583885675e+001	(-3.10336115289902e+001dB,-1.40869740531297e+002°)
1.68179283050744e+001	(-3.08869959094701e+001dB,-1.41433073418150e+002°)
1.69349062472506e+001	(-3.07408509719282e+001dB,-1.41996338686354e+002°)
1.70526978353592e+001	(-3.05951762352435e+001dB,-1.42559526379045e+002°)
1.71713087287552e+001	(-3.04499712060075e+001dB,-1.43122626619418e+002°)
1.72907446261574e+001	(-3.03052353788037e+001dB,-1.43685629611004e+002°)
1.74110112659226e+001	(-3.01609682364837e+001dB,-1.44248525637901e+002°)
1.75321144263208e+001	(-3.00171692504425e+001dB,-1.44811305064964e+002°)
1.76540599258132e+001	(-2.98738378808908e+001dB,-1.45373958337940e+002°)
1.77768536233315e+001	(-2.97309735771249e+001dB,-1.45936475983575e+002°)
1.79005014185596e+001	(-2.95885757777941e+001dB,-1.46498848609663e+002°)
1.80250092522167e+001	(-2.94466439111656e+001dB,-1.47061066905066e+002°)
1.81503831063433e+001	(-2.93051773953854e+001dB,-1.47623121639681e+002°)
1.82766290045881e+001	(-2.91641756387374e+001dB,-1.48185003664378e+002°)
1.84037530124976e+001	(-2.90236380398978e+001dB,-1.48746703910888e+002°)
1.85317612378075e+001	(-2.88835639881873e+001dB,-1.49308213391660e+002°)
1.86606598307363e+001	(-2.87439528638187e+001dB,-1.49869523199677e+002°)
1.87904549842804e+001	(-2.86048040381408e+001dB,-1.50430624508236e+002°)
1.89211529345120e+001	(-2.84661168738789e+001dB,-1.50991508570694e+002°)
1.90527599608789e+001	(-2.83278907253709e+001dB,-1.51552166720174e+002°)
1.91852823865054e+001	(-2.81901249387989e+001dB,-1.52112590369246e+002°)
1.93187265784970e+001	(-2.80528188524168e+001dB,-1.52672771009568e+002°)
1.94530989482458e+001	(-2.79159717967733e+001dB,-1.53232700211499e+002°)
1.95884059517387e+001	(-2.77795830949305e+001dB,-1.53792369623685e+002°)
1.97246540898673e+001	(-2.76436520626771e+001dB,-1.54351770972607e+002°)
1.98618499087409e+001	(-2.75081780087380e+001dB,-1.54910896062114e+002°)
2.00000000000001e+001	(-2.73731602349773e+001dB,-1.55469736772917e+002°)
2.01391110011345e+001	(-2.72385980365983e+001dB,-1.56028285062067e+002°)
2.02791895958007e+001	(-2.71044907023364e+001dB,-1.56586532962403e+002°)
2.04202425141440e+001	(-2.69708375146484e+001dB,-1.57144472581982e+002°)
2.05622765331215e+001	(-2.68376377498957e+001dB,-1.57702096103485e+002°)
2.07052984768277e+001	(-2.67048906785221e+001dB,-1.58259395783604e+002°)
2.08493152168226e+001	(-2.65725955652268e+001dB,-1.58816363952406e+002°)
2.09943336724615e+001	(-2.64407516691317e+001dB,-1.59372993012690e+002°)
2.11403608112278e+001	(-2.63093582439431e+001dB,-1.59929275439316e+002°)
2.12874036490674e+001	(-2.61784145381077e+001dB,-1.60485203778528e+002°)
2.14354692507260e+001	(-2.60479197949639e+001dB,-1.61040770647256e+002°)
2.15845647300887e+001	(-2.59178732528861e+001dB,-1.61595968732418e+002°)
2.17346972505213e+001	(-2.57882741454253e+001dB,-1.62150790790197e+002°)
2.18858740252150e+001	(-2.56591217014420e+001dB,-1.62705229645317e+002°)
2.20381023175324e+001	(-2.55304151452353e+001dB,-1.63259278190313e+002°)
2.21913894413571e+001	(-2.54021536966653e+001dB,-1.63812929384788e+002°)
2.23457427614446e+001	(-2.52743365712705e+001dB,-1.64366176254671e+002°)
2.25011696937764e+001	(-2.51469629803792e+001dB,-1.64919011891467e+002°)
2.26576777059162e+001	(-2.50200321312153e+001dB,-1.65471429451506e+002°)
2.28152743173687e+001	(-2.48935432269999e+001dB,-1.66023422155190e+002°)
2.29739670999409e+001	(-2.47674954670450e+001dB,-1.66574983286244e+002°)
2.31337636781060e+001	(-2.46418880468444e+001dB,-1.67126106190967e+002°)
2.32946717293693e+001	(-2.45167201581573e+001dB,-1.67676784277477e+002°)
2.34566989846378e+001	(-2.43919909890877e+001dB,-1.68227011014979e+002°)
2.36198532285908e+001	(-2.42676997241582e+001dB,-1.68776779933017e+002°)
2.37841423000546e+001	(-2.41438455443785e+001dB,-1.69326084620752e+002°)
2.39495740923788e+001	(-2.40204276273089e+001dB,-1.69874918726230e+002°)
2.41161565538154e+001	(-2.38974451471196e+001dB,-1.70423275955676e+002°)
2.42838976879012e+001	(-2.37748972746437e+001dB,-1.70971150072786e+002°)
2.44528055538416e+001	(-2.36527831774266e+001dB,-1.71518534898035e+002°)
2.46228882668986e+001	(-2.35311020197699e+001dB,-1.72065424307998e+002°)
2.47941539987800e+001	(-2.34098529627720e+001dB,-1.72611812234685e+002°)
2.49666109780325e+001	(-2.32890351643624e+001dB,-1.73157692664886e+002°)
2.51402674904368e+001	(-2.31686477793334e+001dB,-1.73703059639539e+002°)
2.53151318794059e+001	(-2.30486899593667e+001dB,-1.74247907253110e+002°)
2.54912125463855e+001	(-2.29291608530561e+001dB,-1.74792229652990e+002°)
2.56685179512583e+001	(-2.28100596059267e+001dB,-1.75336021038915e+002°)
2.58470566127501e+001	(-2.26913853604498e+001dB,-1.75879275662400e+002°)
2.60268371088389e+001	(-2.25731372560544e+001dB,-1.76421987826201e+002°)
2.62078680771675e+001	(-2.24553144291355e+001dB,-1.76964151883787e+002°)
2.63901582154582e+001	(-2.23379160130589e+001dB,-1.77505762238845e+002°)
2.65737162819305e+001	(-2.22209411381625e+001dB,-1.78046813344802e+002°)
2.67585510957225e+001	(-2.21043889317556e+001dB,-1.78587299704371e+002°)
2.69446715373141e+001	(-2.19882585181145e+001dB,-1.79127215869121e+002°)
2.71320865489537e+001	(-2.18725490184760e+001dB,-1.79666556439075e+002°)
2.73208051350882e+001	(-2.17572595510280e+001dB,1.79794683937676e+002°)
2.75108363627952e+001	(-2.16423892308987e+001dB,1.79256510565319e+002°)
2.77021893622188e+001	(-2.15279371701427e+001dB,1.78718928700652e+002°)
2.78948733270084e+001	(-2.14139024777258e+001dB,1.78181943553386e+002°)
2.80888975147603e+001	(-2.13002842595083e+001dB,1.77645560286416e+002°)
2.82842712474622e+001	(-2.11870816182262e+001dB,1.77109784016070e+002°)
2.84810039119418e+001	(-2.10742936534714e+001dB,1.76574619812328e+002°)
2.86791049603169e+001	(-2.09619194616708e+001dB,1.76040072699015e+002°)
2.88785839104503e+001	(-2.08499581360647e+001dB,1.75506147653963e+002°)
2.90794503464066e+001	(-2.07384087666835e+001dB,1.74972849609148e+002°)
2.92817139189129e+001	(-2.06272704403253e+001dB,1.74440183450797e+002°)
2.94853843458224e+001	(-2.05165422405317e+001dB,1.73908154019469e+002°)
2.96904714125813e+001	(-2.04062232475646e+001dB,1.73376766110104e+002°)
2.98969849726991e+001	(-2.02963125383823e+001dB,1.72846024472048e+002°)
3.01049349482217e+001	(-2.01868091866160e+001dB,1.72315933809046e+002°)
3.03143313302083e+001	(-2.00777122625467e+001dB,1.71786498779213e+002°)
3.05251841792116e+001	(-1.99690208330831e+001dB,1.71257723994970e+002°)
3.07375036257606e+001	(-1.98607339617396e+001dB,1.70729614022960e+002°)
3.09512998708482e+001	(-1.97528507086158e+001dB,1.70202173383929e+002°)
3.11665831864204e+001	(-1.96453701303768e+001dB,1.69675406552590e+002°)
3.13833639158704e+001	(-1.95382912802351e+001dB,1.69149317957450e+002°)
3.16016524745355e+001	(-1.94316132079338e+001dB,1.68623911980620e+002°)
3.18214593501972e+001	(-1.93253349597320e+001dB,1.68099192957597e+002°)
3.20427951035853e+001	(-1.92194555783909e+001dB,1.67575165177018e+002°)
3.22656703688855e+001	(-1.91139741031633e+001dB,1.67051832880391e+002°)
3.24900958542498e+001	(-1.90088895697847e+001dB,1.66529200261809e+002°)
3.27160823423117e+001	(-1.89042010104662e+001dB,1.66007271467628e+002°)
3.29436406907034e+001	(-1.87999074538909e+001dB,1.65486050596138e+002°)
3.31727818325781e+001	(-1.86960079252123e+001dB,1.64965541697199e+002°)
3.34035167771352e+001	(-1.85925014460559e+001dB,1.64445748771864e+002°)
3.36358566101490e+001	(-1.84893870345233e+001dB,1.63926675771981e+002°)
3.38698124945015e+001	(-1.83866637051998e+001dB,1.63408326599771e+002°)
3.41053956707187e+001	(-1.82843304691650e+001dB,1.62890705107398e+002°)
3.43426174575106e+001	(-1.81823863340072e+001dB,1.62373815096508e+002°)
3.45814892523151e+001	(-1.80808303038403e+001dB,1.61857660317766e+002°)
3.48220225318454e+001	(-1.79796613793253e+001dB,1.61342244470365e+002°)
3.50642288526419e+001	(-1.78788785576949e+001dB,1.60827571201528e+002°)
3.53081198516267e+001	(-1.77784808327824e+001dB,1.60313644105994e+002°)
3.55537072466633e+001	(-1.76784671950538e+001dB,1.59800466725495e+002°)
3.58010028371194e+001	(-1.75788366316446e+001dB,1.59288042548215e+002°)
3.60500185044337e+001	(-1.74795881264005e+001dB,1.58776375008247e+002°)
3.63007662126869e+001	(-1.73807206599215e+001dB,1.58265467485033e+002°)
3.65532580091765e+001	(-1.72822332096117e+001dB,1.57755323302801e+002°)
3.68075060249955e+001	(-1.71841247497321e+001dB,1.57245945729997e+002°)
3.70635224756154e+001	(-1.70863942514584e+001dB,1.56737337978703e+002°)
3.73213196614728e+001	(-1.69890406829428e+001dB,1.56229503204061e+002°)
3.75809099685610e+001	(-1.68920630093812e+001dB,1.55722444503686e+002°)
3.78423058690244e+001	(-1.67954601930833e+001dB,1.55216164917081e+002°)
3.81055199217581e+001	(-1.66992311935490e+001dB,1.54710667425048e+002°)
3.83705647730111e+001	(-1.66033749675477e+001dB,1.54205954949104e+002°)
3.86374531569944e+001	(-1.65078904692039e+001dB,1.53702030350893e+002°)
3.89061978964920e+001	(-1.64127766500856e+001dB,1.53198896431605e+002°)
3.91768119034777e+001	(-1.63180324592987e+001dB,1.52696555931399e+002°)
3.94493081797350e+001	(-1.62236568435853e+001dB,1.52195011528826e+002°)
3.97236998174820e+001	(-1.61296487474268e+001dB,1.51694265840267e+002°)
4.00000000000006e+001	(-1.60360071131513e+001dB,1.51194321419369e+002°)
4.02782220022694e+001	(-1.59427308810460e+001dB,1.50695180756499e+002°)
4.05583791916018e+001	(-1.58498189894737e+001dB,1.50196846278205e+002°)
4.08404850282884e+001	(-1.57572703749938e+001dB,1.49699320346680e+002°)
4.11245530662433e+001	(-1.56650839724882e+001dB,1.49202605259256e+002°)
4.14105969536557e+001	(-1.55732587152911e+001dB,1.48706703247892e+002°)
4.16986304336455e+001	(-1.54817935353231e+001dB,1.48211616478693e+002°)
4.19886673449234e+001	(-1.53906873632300e+001dB,1.47717347051435e+002°)
4.22807216224559e+001	(-1.52999391285252e+001dB,1.47223896999111e+002°)
4.25748072981351e+001	(-1.52095477597371e+001dB,1.46731268287493e+002°)
4.28709385014524e+001	(-1.51195121845594e+001dB,1.46239462814720e+002°)
4.31691294601778e+001	(-1.50298313300064e+001dB,1.45748482410895e+002°)
4.34693945010430e+001	(-1.49405041225716e+001dB,1.45258328837711e+002°)
4.37717480504303e+001	(-1.48515294883899e+001dB,1.44769003788103e+002°)
4.40762046350651e+001	(-1.47629063534045e+001dB,1.44280508885909e+002°)
4.43827788827145e+001	(-1.46746336435356e+001dB,1.43792845685577e+002°)
4.46914855228895e+001	(-1.45867102848545e+001dB,1.43306015671873e+002°)
4.50023393875531e+001	(-1.44991352037596e+001dB,1.42820020259636e+002°)
4.53153554118327e+001	(-1.44119073271560e+001dB,1.42334860793549e+002°)
4.56305486347377e+001	(-1.43250255826386e+001dB,1.41850538547941e+002°)
4.59479341998822e+001	(-1.42384888986776e+001dB,1.41367054726616e+002°)
4.62675273562123e+001	(-1.41522962048071e+001dB,1.40884410462717e+002°)
4.65893434587390e+001	(-1.40664464318161e+001dB,1.40402606818613e+002°)
4.69133979692759e+001	(-1.39809385119426e+001dB,1.39921644785824e+002°)
4.72397064571820e+001	(-1.38957713790690e+001dB,1.39441525284974e+002°)
4.75682846001096e+001	(-1.38109439689213e+001dB,1.38962249165776e+002°)
4.78991481847580e+001	(-1.37264552192685e+001dB,1.38483817207057e+002°)
4.82323131076312e+001	(-1.36423040701257e+001dB,1.38006230116804e+002°)
4.85677953758027e+001	(-1.35584894639577e+001dB,1.37529488532258e+002°)
4.89056111076836e+001	(-1.34750103458848e+001dB,1.37053593020035e+002°)
4.92457765337975e+001	(-1.33918656638895e+001dB,1.36578544076285e+002°)
4.95883079975603e+001	(-1.33090543690255e+001dB,1.36104342126885e+002°)
4.99332219560653e+001	(-1.32265754156262e+001dB,1.35630987527671e+002°)
5.02805349808740e+001	(-1.31444277615159e+001dB,1.35158480564705e+002°)
5.06302637588121e+001	(-1.30626103682200e+001dB,1.34686821454579e+002°)
5.09824250927714e+001	(-1.29811222011773e+001dB,1.34216010344756e+002°)
5.13370359025171e+001	(-1.28999622299516e+001dB,1.33746047313952e+002°)
5.16941132255006e+001	(-1.28191294284440e+001dB,1.33276932372547e+002°)
5.20536742176783e+001	(-1.27386227751052e+001dB,1.32808665463050e+002°)
5.24157361543355e+001	(-1.26584412531476e+001dB,1.32341246460581e+002°)
5.27803164309167e+001	(-1.25785838507568e+001dB,1.31874675173412e+002°)
5.31474325638614e+001	(-1.24990495613035e+001dB,1.31408951343532e+002°)
5.35171021914455e+001	(-1.24198373835534e+001dB,1.30944074647255e+002°)
5.38893430746286e+001	(-1.23409463218772e+001dB,1.30480044695870e+002°)
5.42641730979079e+001	(-1.22623753864595e+001dB,1.30016861036325e+002°)
5.46416102701768e+001	(-1.21841235935059e+001dB,1.29554523151948e+002°)
5.50216727255908e+001	(-1.21061899654494e+001dB,1.29093030463211e+002°)
5.54043787244380e+001	(-1.20285735311546e+001dB,1.28632382328532e+002°)
5.57897466540173e+001	(-1.19512733261204e+001dB,1.28172578045108e+002°)
5.61777950295209e+001	(-1.18742883926813e+001dB,1.27713616849792e+002°)
5.65685424949249e+001	(-1.17976177802052e+001dB,1.27255497920010e+002°)
5.69620078238839e+001	(-1.17212605452909e+001dB,1.26798220374702e+002°)
5.73582099206342e+001	(-1.16452157519612e+001dB,1.26341783275318e+002°)
5.77571678209009e+001	(-1.15694824718545e+001dB,1.25886185626837e+002°)
5.81589006928135e+001	(-1.14940597844137e+001dB,1.25431426378824e+002°)
5.85634278378261e+001	(-1.14189467770711e+001dB,1.24977504426529e+002°)
5.89707686916452e+001	(-1.13441425454317e+001dB,1.24524418612017e+002°)
5.93809428251631e+001	(-1.12696461934517e+001dB,1.24072167725330e+002°)
5.97939699453987e+001	(-1.11954568336146e+001dB,1.23620750505686e+002°)
6.02098698964438e+001	(-1.11215735871035e+001dB,1.23170165642717e+002°)
6.06286626604171e+001	(-1.10479955839691e+001dB,1.22720411777730e+002°)
